(no translation needed)
Pon Drum
Pata Drum
Chaka Drum
Don Drum
Rain Miracle
Tailwind Miracle
Storm Miracle
Earthquake Miracle
The Miracle of the Blizzard
Brimstone Juju
Duck n' Cover Juju
ŃÇÇ
Blank Map
Bent Compass
Cloudy Crystal
Broken Sign
Black Star
Mud-stained Map
Soft Lithograph
Unopenable Box
Sealed Scroll
ŃÇÇ
Square Wheel
ŃÇÇ
Grey Rainbow
ŃÇÇ
Mater Sprout
Patapata Song
Ponpon Song
Chakachaka Song
Ponpata Song
Ponchaka Song
DON DON Song
DON CHAKA Song
Yaripon's Memory
Tatepon's Memory
Yumipon's Memory
Kibapon's Memory
Dekapon's Memory
Megapon's Memory
Toripon's Memory
Robopon's Memory
Mahopon's Memory
Cap
Pakapon Cap
Kimpon Cap
Zakpon Cap
Kampon Cap
Gashapon Cap
Yapon Cap
Tsukupon Cap
Ka-ching
Potion
Leather Meat
Tender Meat
Dream Meat
Mystery Meat
Demon Steak
Berara Hide
Gotsutsu Hide
Subebe Hide
Mezura Hide
Demon Hide
Kuneri Fang
Itete Fang
Gizaza Fang
Nazozo Fang
Demon Fang
Mudada Bone
Gashirin Bone
Dodeka Bone
Ottama Bone
Demon Bone
Stone
Hard Iron
Titanium Ore
Mytheerial
Adamanman
Leaf
Banal Branch
Cherry Tree
Hinoki
Super Cedar
Bowtie Tree
Eyeball Cabbage
Crying Carrot
Predator Pumpkin
Hazy Shroom
Guddorian
Kasu Seed
Yoka Seed
Deka Seed
Bibi Seed
Mater Sprout
Sloppy Alloy
Hard Alloy
Awesome Alloy
Magic Alloy
Demon's Ore
Familiar Liquid
Hot Liquid
Cold Liquid
Rainbow Liquid
Demon Liquid
Gnarly Stew
Tasty Stew
King's Stew
Divine Stew
Demon Stew
Wooden Spear
Iron Spear
Steel Spear
Scorching Spear
Dokaknel's Fang
Ancient Spear
Giant Spear "Bullet"
Divine Spear<N0>
Spear of Protection
Ice Spear
Dream Spear
Thunder Spear
Great Fire Spear
Great Ice Spear
Great Thunder Spear
Heaven Spear
Magic Spear Brugnuk
Friendship Spear
ŃÇÇ
ŃÇÇ
Tin Axe
Iron Sword
Steel Axe
Sleep Sword
Flame Sword
Ancient Axe
Giant Sword "The Butcher"
Divine Sword<N0>
Gong's Scythe
Ice Sword
Thunder Sword
Great Fire Axe
Great Ice Axe
Great Thunder Axe
Heaven Sword
Magic Axe Lapris
Friendship Sword
Great God Armour
ŃÇÇ
Sword of the late Tatepon
Wood Shield
Iron Shield
Steel Shield
Ice Shield
Ultra Heavy Shield
Ancient Shield
Giant Shield "Octagon"
Divine Shield<N0>
Fire Shield
Thunder Shield
Wing Shield
Flying Shield
Sun Shield
Dragon Shield
Heaven Shield
Magic Shield Algos
Friendship Shield
ŃÇÇ
ŃÇÇ
ŃÇÇ
Wooden Bow
Iron Bow
Steel Bow
Flame Bow
Piercing Bow
Ancient Bow
Giant Bow "Failnaught"
Divine Bow<N0>
Ice Bow
Dream Bow
Thunder Bow
Great Fire Bow
Great Ice Bow
Great Thunder Bow
Heaven Bow
Magic Bow Flein
Friendship Bow
ŃÇÇ
ŃÇÇ
Bow of the late Yumipon
Wooden Halberd
Iron Halberd
Steel Halberd
Deflecting Halberd
Flame Halberd
Ancient Halberd
Giant Halberd "Grizzly"
Divine Halberd<N0>
Ice Lance
Dream Lance
Thunder Lance
Great Fire Lance
Great Ice Lance
Great Thunder Lance
Heaven Lance
Magic Lance Gugnir
Friendship Lance
ŃÇÇ
ŃÇÇ
ŃÇÇ
Horse
Fast Horse
Tough Horse
Strong Horse
Crimson Horse
Ancient Horse
Deep Impact
Divine Horse<N0>
Blue Horse
Yellow Horse
Burning Horse
Lightning Horse
Ice Horse
Dragon Horse
Heaven Horse
Magic Horse Sleipnir
Friendship Horse
ŃÇÇ
ŃÇÇ
ŃÇÇ
Club
Iron Hammer
Steel Mace
Nail Studded Bat
Dream Weaver
Ancient Hammer
Morning Star "Giganto"
Divine Axe<N0>
Fire Club
Ice Club
Thunder Club
Great Fire Club
Great Ice Club
Great Thunder Club
Heaven Club
Magic Club Thor
Friendship Club
ŃÇÇ
ŃÇÇ
ŃÇÇ
Leather Shoulder
Iron Shoulder
Steel Shoulder
Wind Shoulder
Heavy Shoulder
Drum Shoulder
Great Shoulder Gigas
Divine Shoulder <N0>
Fire Shoulder
Thunder Shoulder
Snow Shoulder
Flying Shoulder
Sun Shoulder
Dragon Shoulder
Heaven Shoulder
Magic Shoulder Chronos
Friendship Shoulder
ŃÇÇ
ŃÇÇ
ŃÇÇ
Wood Horn
Iron Horn
Steel Horn
Dogaeen's Horn
Cioking's Horn
Shookle's Horn
Ancient Horn
Divine Horn<N0>
Fire Flute
Ice Flute
Thunder Flute
Great Fire Flute
Great Ice Flute
Great Thunder Flute
Heaven Flute
Magic Flute Hamlin
Friendship Flute
ŃÇÇ
ŃÇÇ
ŃÇÇ
Cotton Cape
Leather Cape
Silk Cape
Wind Mantle
Cape of Strength
Wing Cape
Drum Mantle
Mighty Pata Mantle <N0>
Fire Mantle
Thunder Mantle
Snow Mantle
Flying Mantle
Sun Mantle
Dragon Mantle
Heaven Mantle
Magic Clothes Vamp
Friendship Mantle
ŃÇÇ
ŃÇÇ
ŃÇÇ
Wood Javelin
Iron Javelin
Steel Javelin
Fire Javelin
Piercing Javelin
Drum Javelin
Giant Javelin
Mighty Pata Javelin <N0>
Ice Javelin
Dream Javelin
Thunder Javelin
Great Fire Javelin
Great Ice Javelin
Great Thunder Javelin
Heaven Javelin
Magic Javelin Gaebolg
Friendship Javelin
ŃÇÇ
ŃÇÇ
ŃÇÇ
Bird
Fast Bird
Tough Bird
Strong Bird
Red Bird
Drum Bird
Garuda
Mighty Pata Bird <N0>
Blue Bird
Yellow Bird
Flame Bird
Thunderbird
Ice Bird
Dragon Bird
Heaven Bird
Magic Bird Onmoraki
Friendship Bird
ŃÇÇ
ŃÇÇ
ŃÇÇ
Brick Arm
Iron Arm
Steel Arm
Burst Arm
Fire Arm
Drum Arm
Great Golem Arm
Divine Fist <N0>
Ice Arm
Dream Arm
Thunder Arm
Great Fire Arm
Great Ice Arm
Great Thunder Arm
Heaven Arm
Magic Arm Quill
Friendship Arm
ŃÇÇ
ŃÇÇ
ŃÇÇ
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
Wood Staff
Iron Staff
Silver Staff
Defense Staff
Fire Staff
Soothing Staff
Drum Staff
Mighty Pata Staff <N0>
Ice Staff
Healing Staff
Thunder Staff
Great Fire Staff
Great Ice Staff
Great Thunder Staff
Heaven Staff
Magic Staff Rune
Friendship Staff
ŃÇÇ
ŃÇÇ
ŃÇÇ
Wood Shoes
Leather Sandals
Glass Shoes
Wind Shoes
Boots of Strength
Wing Boots
Drum Shoes
Mighty Pata Shoes <N0>
Fire Shoes
Thunder Shoes
Snow Shoes
Flying Shoes
Sun Shoes
Dragon Shoes
Heaven Shoes
Magic Shoes Lilith
Friendship Shoes
ŃÇÇ
ŃÇÇ
ŃÇÇ
Wooden Helm
Iron Helm
Steel Helm
Wind Helm
Strength Helm
Ancient Helm
Giant Helm "Turtle"
Divine Helm<N0>
Bunny Head
Scorpiton Helm
Spiderton Helm
Beetleton Helm
Gong's Helm
Fire Helm
Thunder Helm
Snow Helm
Flying Helm
Sun Helm
Dragon Helm
Wing Helm
Cook's Hat
Jeweled Tiara
Samurai Head
Heaven Helm
Magic Helm Hades
Friendship Helm
Great God Helmet
Lordly Hairpiece
ŃÇÇ
ŃÇÇ
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
(no translation needed)
Sutata
Suttata
Sutatattan
Sutatanooo
Gashishi
Gasshin
Zugashi
Gasshingaa
Gochichi
Gocchin
Cocchinko
Gochigachidesu
Shuba
Shubaba
Shubabiya
Shubabassa
Bishiri
Bisharin
Donpisha
Dopishana
Gurara
Guraran
Guranguran
Gurarandaa
Ototo
Ottoto
Ottototo
Ototodokko
Merara
Meracchi
Meraachichi
Meraachiize
Kachichi
Kachikochi
Kachinkon
Kacchikochin
Nekoro
Nenkoro
Nenkorori
Nekororinyo
Kakin
Kakikoki
Kakkinko
Kakkokingu
Hirara
Hirarin
Hiraratto
Hirarinmaru
Biyoyo
Biyoyon
Byororon
Babyobyon
Doshishi
Dosshiri
Zundoshiri
Doshirittan
Chitoto
Chitton
Chittoriyo
Chittoriine
Meranya
Nameranya
Dameranya
Dameranyan
Popoka
Pokapoka
Popopokka
Poppkaana
Nonburu
Nonbururu
Nonnooburu
Nonburussa
Babiri
Babirira
Babiriino
Babinonnon
Jirin
Jiririn
Jinjirin
Jiririntan
Zubaba
Zubizuba
Zunzunbiba
Zubizubabaya
Kachiko
Kachikochi
Kacchinko
Kachinkocchi
Myuu
Myuuto
Myuutan
Myuutaron
Dogyuun
Dongyugyu
Dodongyuu
Zuddongyu
Subasara
Rabasara
Raparassa
Rapasaraana
Sutata
Suttata
Sutatattan
Sutatanooo
Gashishi
Gasshin
Zugashi
Gasshingaa
Gochichi
Gocchin
Cocchinko
Gochigachidesu
Shuba
Shubaba
Shubabiya
Shubabassa
Bishiri
Bisharin
Donpisha
Dopishana
Gurara
Guraran
Guranguran
Gurarandaa
Ototo
Ottoto
Ottototo
Ototodokko
Merara
Meracchi
Meraachichi
Meraachiize
Kachichi
Kachikochi
Kachinkon
Kacchikochin
Nekoro
Nenkoro
Nenkorori
Nekororinyo
Kakin
Kakikoki
Kakkinko
Kakkokingu
Hirara
Hirarin
Hiraratto
Hirarinmaru
Biyoyo
Biyoyon
Byororon
Babyobyon
Doshishi
Dosshiri
Zundoshiri
Doshirittan
Chitoto
Chitton
Chittoriyo
Chittoriine
Meranya
Nameranya
Dameranya
Dameranyan
Popoka
Pokapoka
Popopokka
Poppkaana
Nonburu
Nonbururu
Nonnooburu
Nonburussa
Babiri
Babirira
Babiriino
Babinonnon
Jirin
Jiririn
Jinjirin
Jiririntan
Zubaba
Zubizuba
Zunzunbiba
Zubizubabaya
Kachiko
Kachikochi
Kacchinko
Kachinkocchi
Myuu
Myuuto
Myuutan
Myuutaron
Dogyuun
Dongyugyu
Dodongyuu
Zuddongyu
Subasara
Rabasara
Raparassa
Rapasaraana
Head of Dodonga
Head of Majidonga
Head of Zaknel
Head of Dokaknel
Head of Gaeen
Head of Dogaeen
Cioking's Pincer
Ciokinna's Pincer
Head of Shookle
Head of Shooshookle
Head of Gorl
Head of Mocchichi
Head of Momoti
